CF,Sub,Condition,Computer,Experimenter,Date,Name,Sex,Birthdate,Age (adjusted),Days E/L,visit #,Ethnicity,Hispanic?,Video Consent,Include?,Comments
X,effie_001,L1_2,Tintera,MZ,10/21/19,NA,M,NA,8.4,-1,1,White,No,Y,Y,"a little fussy during the training but overall good listening and looking. test trial 1 - briefly released key when baby moved arms suddenly, but baby was still looking"
X,effie_002,L1_8,Tintera,DB,10/22/19,NA,F,NA,8.4,0,1,Other,No,Y,y,great! 
X,effie_003,L2_2,Tintera,DB,10/24/19,NA,M,NA,7.9,10,1,White,No,Y,Y,great! Liked to try to fake me out by looking back past moms shoulder. Got me on trial 6 mid-trial so I briefly released when unneeded
X,effie_004,L2_8,Tintera,JS,10/24/19,NA,M,NA,8.5,-14,1,White,No,Y,Y,"starting coding a little late in the second to last trial, he was doing really short looks. Pretty good; a little wiggly. "
X,effie_005,L1_2,Tintera,JS,10/24/19,NA,M,NA,9,2,1,"White, Black/African American, American India or Alaska Native",No,Y,Y,great! Good looking! 
X,effie_006,L2_8,Tintera,JS,10/24/19,NA,M,NA,8.2,-21,1,White,No,Y,Y,great! Super cute. Good looking. Got a little sleepy during the second to last trial; mom (watching from outside booth) indicated that baby may be babbling at certain points during experiment. Heard wrong audio file - chnaged to the correct on he heard (12/2 EK)
X,effie_007,L2_2,Tintera,DB,10/28/19,NA,F,NA,8.6,7,1,White,No,Y,Y,"great! Cute, quick head turner, would quickly look away and look back a lot "
X,effie_008,L2_8,Tintera,JS,10/29/19,NA,F,NA,7.2,-6,1,White,Yes,Y,Y,good! 
X,effie_009,L1_2,Tintera,JS,11/1/19,NA,F,NA,8.9,-3,1,White,No,Y,Y?,VERY squirmy. Mom had to turn her around several times. More interested in the headphones and looking back at mom. 
X,effie_010,L1_8,Tintera,JS,11/4/19,NA,F,NA,8.6,-2,1,White,No,Y,Y,"Good! During the last trial, I held down the key for like a second too long. "
X,effie_011,L2_2,Tintera,AM/JS,11/4/19,NA,F,NA,7.5,1,1,White,No,Y,Y,"Good! A little fussy during the last 3 trials, but made it through.  Video didn't record."
X,effie_012,L2_8,Tintera,JS/HW/LF,11/5/19,NA,M,NA,8.3,-6,1,White,No,Y,Y,Good! 
X,effie_013,L1_2,Tintera,HW,11/5/19,NA,M,NA,8.8,-6,1,"American Indian or Alaska Native, White",No,Y,N,"Baby was attentive, but experimenter accidentally advanced past familiarization headturn training directly to test (and experiment therefore seemed to quit early - baby was hearing test items together with familiarization)"
X,effie_014,L1_8,Tintera,JS/LF,11/7/19,NA,M,NA,6.9,-2,1,White,No,Y,Y,Pretty squirmy and kept on looking back at dad. Should have held the 6 key down for a little longer during trial 4. 
X,effie_015,L2_2,Tintera,RB/JS,11/8/19,NA,M,NA,8.2,-2,1,White,No,Y,Y,great!  Got a little squirmy but not bad…so cute!
X,effie_016,L2_8,Tintera,LF,11/12/19,NA,F,NA,6.6,0,1,White,No,Y,Y,great! A little squirmy at the beginning but got it together
X,effie_017,L1_2,Tintera,EK,11/12/19,NA,M,NA,6,-8,1,White,No,Y,Y,Good! Looked at mom a few time in the beginning but was good during the testing/trials
X,effie_018,L1_8,Tintera,JS,11/13/19,NA,F,NA,8.1,-1,1,White,No,Y,Y,really great! Intital exposure audio started ~ 500 ms in (12/4 MZ)
